channel,month,spend
Paid Social,2023-01-01,6851.38
Organic Search,2023-01-01,1603.63
Email Marketing,2023-01-01,1007.37
Referral,2023-01-01,525.16
Paid Social,2023-02-01,7787.64
Organic Search,2023-02-01,1371.29
Email Marketing,2023-02-01,974.79
Referral,2023-02-01,533.55
Paid Social,2023-03-01,8443.47
Organic Search,2023-03-01,1604.56
Email Marketing,2023-03-01,1034.75
Referral,2023-03-01,431.85
Paid Social,2023-04-01,9179.34
Organic Search,2023-04-01,1528.16
Email Marketing,2023-04-01,952.02
Referral,2023-04-01,472.78
Paid Social,2023-05-01,8107.64
Organic Search,2023-05-01,1421.36
Email Marketing,2023-05-01,838.49
Referral,2023-05-01,544.4
Paid Social,2023-06-01,9066.72
Organic Search,2023-06-01,1572.36
Email Marketing,2023-06-01,818.91
Referral,2023-06-01,429.0
Paid Social,2023-07-01,8846.74
Organic Search,2023-07-01,1374.56
Email Marketing,2023-07-01,808.21
Referral,2023-07-01,427.85
Paid Social,2023-08-01,6946.34
Organic Search,2023-08-01,1496.02
Email Marketing,2023-08-01,845.73
Referral,2023-08-01,459.36
Paid Social,2023-09-01,6976.02
Organic Search,2023-09-01,1287.73
Email Marketing,2023-09-01,852.72
Referral,2023-09-01,457.59
Paid Social,2023-10-01,8486.93
Organic Search,2023-10-01,1541.56
Email Marketing,2023-10-01,888.12
Referral,2023-10-01,453.32
Paid Social,2023-11-01,11515.38
Organic Search,2023-11-01,2441.03
Email Marketing,2023-11-01,1585.38
Referral,2023-11-01,853.4
Paid Social,2023-12-01,13331.23
Organic Search,2023-12-01,2260.2
Email Marketing,2023-12-01,1335.39
Referral,2023-12-01,740.0
Paid Social,2024-01-01,7434.47
Organic Search,2024-01-01,1528.17
Email Marketing,2024-01-01,858.37
Referral,2024-01-01,521.88
Paid Social,2024-02-01,6879.19
Organic Search,2024-02-01,1366.21
Email Marketing,2024-02-01,784.38
Referral,2024-02-01,534.59
Paid Social,2024-03-01,9102.23
Organic Search,2024-03-01,1277.77
Email Marketing,2024-03-01,808.73
Referral,2024-03-01,494.14
Paid Social,2024-04-01,7137.68
Organic Search,2024-04-01,1659.73
Email Marketing,2024-04-01,905.68
Referral,2024-04-01,534.99
Paid Social,2024-05-01,8766.95
Organic Search,2024-05-01,1453.47
Email Marketing,2024-05-01,959.38
Referral,2024-05-01,572.07
Paid Social,2024-06-01,7001.42
Organic Search,2024-06-01,1526.34
Email Marketing,2024-06-01,1001.41
Referral,2024-06-01,570.91
Paid Social,2024-07-01,8215.92
Organic Search,2024-07-01,1292.54
Email Marketing,2024-07-01,1024.78
Referral,2024-07-01,554.74
Paid Social,2024-08-01,7475.79
Organic Search,2024-08-01,1374.77
Email Marketing,2024-08-01,964.71
Referral,2024-08-01,497.91
Paid Social,2024-09-01,8782.74
Organic Search,2024-09-01,1350.57
Email Marketing,2024-09-01,934.22
Referral,2024-09-01,515.21
Paid Social,2024-10-01,9098.49
Organic Search,2024-10-01,1574.66
Email Marketing,2024-10-01,771.43
Referral,2024-10-01,568.59
Paid Social,2024-11-01,11578.81
Organic Search,2024-11-01,2225.09
Email Marketing,2024-11-01,1417.51
Referral,2024-11-01,754.14
Paid Social,2024-12-01,12453.59
Organic Search,2024-12-01,2630.35
Email Marketing,2024-12-01,1354.64
Referral,2024-12-01,686.58
Paid Social,2025-01-01,7847.35
Organic Search,2025-01-01,1300.07
Email Marketing,2025-01-01,798.61
Referral,2025-01-01,452.64
Paid Social,2025-02-01,9026.02
