order_item_id,order_id,product_id,quantity,unit_price,line_subtotal,line_discount_amount,line_net_revenue,line_cost,line_profit
1,1,25,1,369.86,369.86,14.79,355.07,250.61,104.46
2,2,30,1,279.12,279.12,0.0,279.12,164.33,114.79
3,3,35,1,33.38,33.38,2.34,31.04,19.99,11.05
4,3,240,1,16.46,16.46,1.15,15.31,8.51,6.8
5,4,7,1,107.52,107.52,17.2,90.32,60.04,30.28
6,5,247,1,90.78,90.78,0.0,90.78,39.5,51.28
7,6,154,2,79.17,158.34,7.92,150.42,58.98,91.44
8,6,231,1,79.55,79.55,3.98,75.57,41.55,34.02
9,6,239,1,34.48,34.48,1.72,32.76,16.53,16.23
10,7,73,1,90.7,90.7,0.0,90.7,36.98,53.72
11,7,241,1,19.8,19.8,0.0,19.8,9.42,10.38
12,7,236,1,79.68,79.68,0.0,79.68,41.38,38.3
13,8,239,1,34.48,34.48,0.0,34.48,16.53,17.95
14,8,191,2,100.48,200.96,0.0,200.96,104.6,96.36
15,9,80,1,104.32,104.32,0.0,104.32,43.04,61.28
16,10,286,1,272.52,272.52,0.0,272.52,144.73,127.79
17,11,287,1,47.03,47.03,0.0,47.03,27.14,19.89
18,12,278,2,442.26,884.52,353.81,530.71,464.42,66.29
19,12,279,1,727.0,727.0,290.8,436.2,368.97,67.23
20,12,282,1,647.09,647.09,258.84,388.25,323.54,64.71
21,12,283,1,399.69,399.69,159.88,239.81,224.2,15.61
22,13,287,2,47.03,94.06,0.0,94.06,54.28,39.78
23,13,82,1,41.28,41.28,0.0,41.28,16.16,25.12
24,14,225,1,29.27,29.27,0.0,29.27,17.68,11.59
25,14,239,1,34.48,34.48,0.0,34.48,16.53,17.95
26,14,175,1,64.85,64.85,0.0,64.85,26.78,38.07
27,15,278,1,442.26,442.26,0.0,442.26,232.21,210.05
28,15,175,1,64.85,64.85,0.0,64.85,26.78,38.07
29,15,47,2,20.12,40.24,0.0,40.24,16.04,24.2
30,15,284,2,47.0,94.0,0.0,94.0,49.64,44.36
31,16,68,2,55.57,111.14,25.56,85.58,47.16,38.42
32,16,84,1,16.57,16.57,3.81,12.76,6.92,5.84
33,17,64,1,64.14,64.14,20.52,43.62,28.05,15.57
34,17,86,1,53.26,53.26,17.04,36.22,23.8,12.42
35,18,155,1,12.59,12.59,0.0,12.59,4.91,7.68
36,18,280,1,431.22,431.22,0.0,431.22,226.89,204.33
37,18,243,1,90.3,90.3,0.0,90.3,42.64,47.66
38,19,22,1,326.63,326.63,0.0,326.63,187.35,139.28
39,20,278,1,442.26,442.26,0.0,442.26,232.21,210.05
40,21,173,1,67.18,67.18,0.0,67.18,27.69,39.49
41,21,204,1,246.49,246.49,0.0,246.49,120.22,126.27
42,21,200,1,235.08,235.08,0.0,235.08,125.47,109.61
43,22,23,2,400.95,801.9,0.0,801.9,541.62,260.28
