return_id,order_item_id,return_date,return_reason,refund_amount
1,34,2024-10-17,Wrong size/fit,36.22
2,37,2024-10-26,Not as described,90.3
3,77,2023-06-22,Not as described,112.72
4,122,2024-11-26,Wrong size/fit,177.98
5,149,2023-07-26,Not as described,131.01
6,151,2023-08-21,Wrong size/fit,127.18
7,153,2023-08-22,Wrong size/fit,57.73
8,192,2025-03-05,Defective/damaged,25.46
9,237,2024-12-25,Defective/damaged,156.39
10,268,2025-04-27,Changed mind,49.44
11,291,2025-12-01,Changed mind,492.37
12,297,2026-03-15,Not as described,98.02
13,386,2026-03-18,Not as described,377.77
14,435,2024-07-05,Wrong size/fit,62.71
15,461,2026-07-23,Defective/damaged,369.86
16,487,2025-06-15,Not as described,27.26
17,511,2026-06-07,Wrong size/fit,286.98
18,533,2024-12-10,Changed mind,31.96
19,613,2025-12-28,Changed mind,376.99
20,617,2026-06-10,Wrong size/fit,98.02
21,657,2023-07-15,Defective/damaged,38.63
22,661,2023-08-31,Wrong size/fit,135.26
23,666,2023-10-24,Not as described,117.01
24,678,2024-04-12,Wrong size/fit,313.37
25,693,2024-10-12,Not as described,103.62
26,748,2025-01-22,Not as described,161.81
27,750,2025-02-15,Changed mind,34.34
28,766,2024-04-01,Not as described,183.24
29,818,2023-10-17,Not as described,123.34
30,821,2023-10-29,Defective/damaged,24.95
31,840,2026-03-29,Changed mind,34.48
32,854,2023-07-06,Not as described,55.09
33,889,2024-12-03,Changed mind,56.92
34,897,2025-06-18,Wrong size/fit,63.53
35,918,2024-12-20,Changed mind,68.23
36,922,2023-12-18,Defective/damaged,89.59
37,934,2024-04-11,Not as described,874.84
38,966,2023-11-29,Not as described,130.87
39,971,2024-04-10,Changed mind,32.06
40,1043,2026-07-13,Changed mind,55.37
41,1145,2024-08-03,Defective/damaged,63.64
42,1164,2025-05-30,Defective/damaged,257.79
43,1167,2025-08-09,Defective/damaged,154.15
44,1174,2025-02-26,Wrong size/fit,82.56
45,1239,2023-10-28,Defective/damaged,16.42
46,1245,2024-03-04,Not as described,68.6
47,1295,2024-03-29,Wrong size/fit,43.34
48,1307,2024-02-06,Not as described,218.69
49,1312,2026-07-18,Not as described,192.77
50,1323,2026-08-08,Wrong size/fit,146.43
51,1346,2024-03-21,Not as described,708.29
52,1357,2023-03-27,Not as described,82.79
53,1379,2023-10-19,Not as described,157.37
54,1406,2023-06-05,Changed mind,272.52
55,1452,2026-07-15,Defective/damaged,52.51
56,1478,2024-09-08,Changed mind,563.94
57,1492,2025-11-09,Wrong size/fit,75.44
58,1499,2026-02-20,Wrong size/fit,112.64
59,1501,2026-04-09,Changed mind,64.14
60,1503,2026-04-11,Not as described,128.09
61,1508,2026-05-28,Wrong size/fit,44.73
62,1535,2025-08-13,Changed mind,157.68
63,1590,2026-09-07,Wrong size/fit,171.21
64,1636,2025-12-20,Defective/damaged,126.93
65,1647,2024-12-19,Defective/damaged,711.39
66,1649,2024-12-24,Not as described,299.59
67,1652,2024-10-28,Wrong size/fit,219.72
68,1662,2025-06-04,Wrong size/fit,109.93
69,1708,2024-05-03,Changed mind,21.12
70,1771,2025-01-17,Changed mind,170.41
71,1776,2025-04-20,Not as described,1505.72
72,1825,2026-01-16,Defective/damaged,47.68
73,1854,2023-08-05,Defective/damaged,66.33
74,1855,2023-08-06,Changed mind,66.49
75,1924,2023-06-10,Not as described,76.22
76,2009,2024-12-04,Not as described,566.32
77,2015,2025-04-28,Changed mind,657.42
78,2024,2025-06-08,Changed mind,63.28
79,2042,2026-05-06,Changed mind,38.3
80,2059,2026-03-18,Not as described,216.18
81,2060,2026-05-21,Changed mind,47.03
82,2080,2024-02-17,Changed mind,169.32
83,2085,2024-06-06,Not as described,111.6
84,2106,2024-03-09,Wrong size/fit,24.22
85,2141,2025-06-24,Defective/damaged,33.78
86,2173,2025-09-25,Wrong size/fit,103.84
87,2245,2025-12-21,Changed mind,42.49
88,2283,2026-04-13,Changed mind,85.24
89,2298,2025-09-13,Defective/damaged,70.97
90,2309,2025-11-09,Defective/damaged,95.31
91,2315,2026-03-14,Wrong size/fit,71.82
92,2326,2026-05-05,Changed mind,254.3
